ElemUID;latitude;longitude
14029001;50.11979;8.685525
14029002;50.119766;8.685546
14029003;50.119743;8.685568
14029004;50.119114;8.685225
14029005;50.11911;8.685183
14029006;50.119244;8.685154
14029007;50.119278;8.685092
14029009;50.11972;8.685589
14029010;50.119606;8.685335
15050001;50.15963;8.724163
15050002;50.159653;8.724137
15050003;50.15893;8.723076
15422001;50.113384;8.649686
15422002;50.11341;8.64969
15422003;50.113438;8.649694
15422004;50.113464;8.6497
15422007;50.1136;8.650519
15422008;50.113594;8.650562
15422009;50.11359;8.650606
15424001;50.114265;8.651012
15424002;50.114246;8.651046
15424003;50.114235;8.651081
15424004;50.114216;8.6511135
15424005;50.114025;8.64986
15424006;50.114048;8.649884
15424007;50.11407;8.649909
15425025;50.11442;8.651903
15425026;50.114395;8.651894
15425027;50.11437;8.651887
15425028;50.114754;8.651409
15425029;50.11475;8.65145
15425030;50.114742;8.651491
15426001;50.11566;8.652757
15426002;50.115635;8.652754
15426003;50.11571;8.652043
15426004;50.115685;8.652041
15426005;50.115658;8.652041
15427001;50.113438;8.653264
15427002;50.113457;8.653233
15427003;50.113476;8.653202
15427004;50.113255;8.653036
15427005;50.113274;8.65301
15427006;50.113293;8.65298
15427010;50.114544;8.6527
15427011;50.114574;8.652685
15427012;50.114548;8.6527405
15427013;50.114582;8.652726
15427014;50.114555;8.6527815
15427015;50.11459;8.652766
15428001;50.112335;8.6555805
15428002;50.112316;8.655553
15428003;50.11236;8.655608
15428004;50.112793;8.655181
15428005;50.112778;8.655211
15429001;50.11248;8.653419
15429002;50.112503;8.653443
15429003;50.112526;8.653463
15429004;50.11149;8.655349
15429005;50.111504;8.655314
15429014;50.112503;8.653366
15429015;50.112526;8.653388
15429016;50.11255;8.653407
15430003;50.110653;8.657151
15430004;50.11066;8.65711
15430005;50.110664;8.657069
15430006;50.110428;8.657041
15430007;50.11043;8.657
15430008;50.110435;8.656959
15430009;50.111;8.656673
15430010;50.111023;8.656697
15430011;50.111042;8.656721
15430012;50.110966;8.656963
15430015;50.111065;8.657362
15430016;50.111073;8.657322
15430017;50.111084;8.657283
15430018;50.11085;8.658065
15430019;50.11087;8.658096
15430020;50.11089;8.658124
15430066;50.11083;8.658104
15430067;50.11085;8.658133
15430068;50.11087;8.658161
15430069;50.11056;8.657721
15430070;50.11054;8.657767
15430071;50.110584;8.657738
15430072;50.110565;8.6577835
15430073;50.11061;8.657758
15430074;50.110588;8.657803
15430075;50.111816;8.656545
15430076;50.111797;8.656578
15430077;50.11178;8.656487
15430078;50.111755;8.656521
15430079;50.111797;8.656517
15430080;50.11178;8.6565485
15431025;50.110207;8.659364
15431026;50.110184;8.659338
15431027;50.110428;8.659134
15433001;50.10855;8.662873
15433016;50.108955;8.661462
15433017;50.108936;8.661437
15436001;50.108376;8.664377
15436002;50.108353;8.664397
15436003;50.108326;8.664417
15436004;50.10834;8.66338
15436005;50.108364;8.663395
15436006;50.10815;8.662899
15436007;50.108177;8.662883
15436008;50.10809;8.66327
15436013;50.10811;8.664413
15436014;50.108086;8.664389
15436015;50.108063;8.664365
15436016;50.108418;8.6636915
15436017;50.108406;8.663654
15438001;50.105755;8.6645355
15438002;50.105778;8.6645155
15442004;50.103497;8.665093
15442005;50.103497;8.665052
15442006;50.103497;8.665011
15442007;50.103497;8.66497
15442008;50.1035;8.664929
17353001;50.077164;8.654804
17353002;50.077187;8.654776
17353003;50.077206;8.654751
17353004;50.07769;8.654611
17353005;50.077713;8.654636
17353006;50.077736;8.654662
17368001;50.07839;8.654135
17368002;50.078083;8.653708
17368003;50.079006;8.654723
17368004;50.07899;8.654755
17368005;50.07897;8.654785
17368006;50.078953;8.654818
17370025;50.080883;8.657279
17370026;50.080856;8.657329
17370027;50.080128;8.657249
17370028;50.080135;8.65729
17370029;50.080143;8.6573305
17370030;50.08015;8.657371
17371001;50.0789;8.657885
17371002;50.078884;8.657847
17371003;50.078873;8.657809
17372001;50.088055;8.659973
17372002;50.08787;8.659599
17372003;50.08788;8.65956
17372004;50.088036;8.659308
17372005;50.088062;8.659311
17372006;50.088295;8.659641
17372007;50.088276;8.6596775
17372008;50.08826;8.659713
17372009;50.087692;8.659507
17375025;50.097942;8.669915
17375026;50.09796;8.669949
17375027;50.097977;8.66998
17375028;50.097992;8.670015
17375029;50.09835;8.671521
17375030;50.098335;8.671557
17375031;50.09681;8.671139
17375032;50.09681;8.671097
17375033;50.096966;8.67027
17375034;50.09698;8.6702385
17375035;50.096638;8.669815
17375036;50.096653;8.669782
17375037;50.09667;8.669748
17375038;50.09736;8.67109
17377001;50.09954;8.669278
17377002;50.09896;8.668157
17377003;50.098938;8.668181
17377004;50.098915;8.668206
17377005;50.098995;8.669451
17377006;50.099014;8.669484
17377007;50.09903;8.669518
17377008;50.099045;8.669553
17378001;50.100094;8.667713
17378002;50.100075;8.66768
17378003;50.099735;8.66801
17378004;50.099724;8.667971
